CodMun;UF;Cod UF;municipio;codigo_municipio
1100015;RO;11;Alta Floresta DOeste;110001
1100023;RO;11;Ariquemes;110002
1100031;RO;11;Cabixi;110003
1100049;RO;11;Cacoal;110004
1100056;RO;11;Cerejeiras;110005
1100064;RO;11;Colorado do Oeste;110006
1100072;RO;11;Corumbiara;110007
1100080;RO;11;Costa Marques;110008
1100098;RO;11;Espigão DOeste;110009
1100106;RO;11;Guajará-Mirim;110010
1100114;RO;11;Jaru;110011
1100122;RO;11;Ji-Paraná;110012
1100130;RO;11;Machadinho DOeste;110013
1100148;RO;11;Nova Brasilândia DOeste;110014
1100155;RO;11;Ouro Preto do Oeste;110015
1100189;RO;11;Pimenta Bueno;110018
1100205;RO;11;Porto Velho;110020
1100254;RO;11;Presidente Médici;110025
1100262;RO;11;Rio Crespo;110026
1100288;RO;11;Rolim de Moura;110028
1100296;RO;11;Santa Luzia DOeste;110029
1100304;RO;11;Vilhena;110030
1100320;RO;11;São Miguel do Guaporé;110032
1100338;RO;11;Nova Mamoré;110033
1100346;RO;11;Alvorada DOeste;110034
1100379;RO;11;Alto Alegre dos Parecis;110037
1100403;RO;11;Alto Paraíso;110040
1100452;RO;11;Buritis;110045
1100502;RO;11;Novo Horizonte do Oeste;110050
1100601;RO;11;Cacaulândia;110060
1100700;RO;11;Campo Novo de Rondônia;110070
1100809;RO;11;Candeias do Jamari;110080
1100908;RO;11;Castanheiras;110090
1100924;RO;11;Chupinguaia;110092
1100940;RO;11;Cujubim;110094
1101005;RO;11;Governador Jorge Teixeira;110100
1101104;RO;11;Itapuã do Oeste;110110
1101203;RO;11;Ministro Andreazza;110120
1101302;RO;11;Mirante da Serra;110130
1101401;RO;11;Monte Negro;110140
1101435;RO;11;Nova União;110143
1101450;RO;11;Parecis;110145
1101468;RO;11;Pimenteiras do Oeste;110146
1101476;RO;11;Primavera de Rondônia;110147
1101484;RO;11;São Felipe DOeste;110148
1101492;RO;11;São Francisco do Guaporé;110149
1101500;RO;11;Seringueiras;110150
1101559;RO;11;Teixeirópolis;110155
1101609;RO;11;Theobroma;110160
1101708;RO;11;Urupá;110170
1101757;RO;11;Vale do Anari;110175
1101807;RO;11;Vale do Paraíso;110180
1200013;AC;12;Acrelândia;120001
1200054;AC;12;Assis Brasil;120005
1200104;AC;12;Brasiléia;120010
1200138;AC;12;Bujari;120013
1200179;AC;12;Capixaba;120017
1200203;AC;12;Cruzeiro do Sul;120020
1200252;AC;12;Epitaciolândia;120025
1200302;AC;12;Feijó;120030
1200328;AC;12;Jordão;120032
1200336;AC;12;Mâncio Lima;120033
1200344;AC;12;Manoel Urbano;120034
1200351;AC;12;Marechal Thaumaturgo;120035
1200385;AC;12;Plácido de Castro;120038
1200393;AC;12;Porto Walter;120039
1200401;AC;12;Rio Branco;120040
1200427;AC;12;Rodrigues Alves;120042
1200435;AC;12;Santa Rosa do Purus;120043
1200450;AC;12;Senador Guiomard;120045
1200500;AC;12;Sena Madureira;120050
1200609;AC;12;Tarauacá;120060
1200708;AC;12;Xapuri;120070
1200807;AC;12;Porto Acre;120080
1300029;AM;13;Alvarães;130002
1300060;AM;13;Amaturá;130006
1300086;AM;13;Anamã;130008
1300102;AM;13;Anori;130010
1300144;AM;13;Apuí;130014
1300201;AM;13;Atalaia do Norte;130020
1300300;AM;13;Autazes;130030
1300409;AM;13;Barcelos;130040
1300508;AM;13;Barreirinha;130050
1300607;AM;13;Benjamin Constant;130060
1300631;AM;13;Beruri;130063
1300680;AM;13;Boa Vista do Ramos;130068
1300706;AM;13;Boca do Acre;130070
1300805;AM;13;Borba;130080
1300839;AM;13;Caapiranga;130083
1300904;AM;13;Canutama;130090
1301001;AM;13;Carauari;130100
1301100;AM;13;Careiro;130110
1301159;AM;13;Careiro da Várzea;130115
1301209;AM;13;Coari;130120
1301308;AM;13;Codajás;130130
1301407;AM;13;Eirunepé;130140
1301506;AM;13;Envira;130150
1301605;AM;13;Fonte Boa;130160
1301654;AM;13;Guajará;130165
1301704;AM;13;Humaitá;130170
1301803;AM;13;Ipixuna;130180
1301852;AM;13;Iranduba;130185
1301902;AM;13;Itacoatiara;130190
1301951;AM;13;Itamarati;130195
1302009;AM;13;Itapiranga;130200
1302108;AM;13;Japurá;130210
1302207;AM;13;Juruá;130220
1302306;AM;13;Jutaí;130230
1302405;AM;13;Lábrea;130240
1302504;AM;13;Manacapuru;130250
1302553;AM;13;Manaquiri;130255
1302603;AM;13;Manaus;130260
1302702;AM;13;Manicoré;130270
1302801;AM;13;Maraã;130280
1302900;AM;13;Maués;130290
1303007;AM;13;Nhamundá;130300
1303106;AM;13;Nova Olinda do Norte;130310
1303205;AM;13;Novo Airão;130320
1303304;AM;13;Novo Aripuanã;130330
1303403;AM;13;Parintins;130340
1303502;AM;13;Pauini;130350
1303536;AM;13;Presidente Figueiredo;130353
1303569;AM;13;Rio Preto da Eva;130356
1303601;AM;13;Santa Isabel do Rio Negro;130360
1303700;AM;13;Santo Antônio do Içá;130370
